,precio,distrito,tamaño,BazaarID,CoorX,CoorY,ParcelID,Geo
0,2700.0,1,1,149685,4200,3232,87,"[4200, 3232]"
1,2640.0,1,1,150375,4200,3280,119,"[4200, 3280]"
2,2200.0,1,1,154004,4176,3300,186,"[4176, 3300]"
3,499.0,1,1,156227,4176,3020,187,"[4176, 3020]"
4,2400.0,1,1,150330,4200,2980,193,"[4200, 2980]"
5,1700.0,1,1,150315,4136,3112,205,"[4136, 3112]"
6,700.0,1,0,152052,4144,3232,207,"[4144, 3232]"
7,450.0,1,0,151812,4144,3296,260,"[4144, 3296]"
8,3000.0,1,0,149296,4068,3172,385,"[4068, 3172]"
9,1250.0,1,1,149708,3968,3112,731,"[3968, 3112]"
10,500.0,1,0,150438,3960,3232,790,"[3960, 3232]"
11,1500.0,1,1,151696,3944,3188,825,"[3944, 3188]"
12,500.0,1,0,150434,3944,3096,858,"[3944, 3096]"
13,819.0,1,0,150113,3944,3080,874,"[3944, 3080]"
14,500.0,1,1,150287,3896,3280,1110,"[3896, 3280]"
15,1000.0,1,1,150331,3896,3304,1146,"[3896, 3304]"
16,499.9999999999999,1,0,154196,4096,3560,1189,"[4096, 3560]"
17,499.0,1,0,152081,4096,2736,1364,"[4096, 2736]"
18,330.0,1,0,156314,4096,3608,1463,"[4096, 3608]"
19,1000.0,1,1,150334,4136,3648,1581,"[4136, 3648]"
20,1199.0,1,1,152583,4088,3624,1615,"[4088, 3624]"
21,600.0,1,1,150348,4088,2696,1616,"[4088, 2696]"
22,320.0,1,0,150240,3832,3360,1638,"[3832, 3360]"
23,250.0,1,0,151583,3832,2968,1639,"[3832, 2968]"
24,200.0,1,0,151426,3832,3376,1670,"[3832, 3376]"
25,470.0,1,0,153279,3832,2952,1671,"[3832, 2952]"
26,1500.0,1,1,152039,4068,2696,1677,"[4068, 2696]"
27,400.0,1,0,151702,4160,2640,1710,"[4160, 2640]"
28,700.0,1,0,151179,3880,3512,1806,"[3880, 3512]"
29,1320.0,1,1,150357,4136,2600,1868,"[4136, 2600]"
30,2000.0,1,2,149374,3716,2936,1953,"[3716, 2936]"
31,320.0,1,0,149528,3668,3232,2038,"[3668, 3232]"
32,330.0,1,0,150236,3668,3264,2059,"[3668, 3264]"
33,300.0,1,0,154515,3832,2768,2064,"[3832, 2768]"
34,295.0,1,0,152113,3668,3280,2078,"[3668, 3280]"
35,365.0,1,0,151968,3656,3112,2090,"[3656, 3112]"
36,269.99,1,0,157275,3656,3096,2105,"[3656, 3096]"
37,420.0,1,0,151122,3904,2696,2107,"[3904, 2696]"
38,295.0,1,0,156926,3668,3328,2150,"[3668, 3328]"
39,420.0,1,0,153280,3880,2704,2156,"[3880, 2704]"
40,288.0,1,0,156487,3656,3312,2185,"[3656, 3312]"
41,259.99,1,0,156310,3656,3016,2186,"[3656, 3016]"
42,345.0,1,0,156556,3832,3592,2193,"[3832, 3592]"
43,320.0,1,0,149484,3668,2968,2202,"[3668, 2968]"
44,288.0,1,0,156224,3656,3000,2206,"[3656, 3000]"
45,1888.0,1,2,154003,3792,3544,2229,"[3792, 3544]"
46,2450.0,1,2,154140,3792,3544,2229,"[3792, 3544]"
47,320.0,1,0,150165,3656,3360,2249,"[3656, 3360]"
48,300.0,1,0,154513,3656,3376,2287,"[3656, 3376]"
49,150.0,1,0,157520,3656,3408,2350,"[3656, 3408]"
50,320.0,1,0,152795,3668,3440,2360,"[3668, 3440]"
51,4000.0,1,1,149331,4068,2532,2374,"[4068, 2532]"
52,300.0,1,0,149748,3656,2904,2378,"[3656, 2904]"
53,599.0,1,0,149548,3668,3456,2395,"[3668, 3456]"
54,274.99,1,0,157384,3832,3656,2425,"[3832, 3656]"
55,299.0,1,0,149720,3656,3456,2432,"[3656, 3456]"
56,4999.0,1,3,152955,4152,3844,2454,"[4152, 3844]"
57,3332.9999999999995,1,2,150820,3716,3544,2481,"[3716, 3544]"
58,2968.9999999999995,1,2,151536,3792,2648,2490,"[3792, 2648]"
59,3690.0,1,2,151527,3716,2720,2500,"[3716, 2720]"
60,2699.0000000000005,1,3,157567,3512,3116,2548,"[3512, 3116]"
61,150.0,1,0,157499,3656,3560,2702,"[3656, 3560]"
62,3000.0,1,2,155894,3752,3688,2913,"[3752, 3688]"
63,274.99,1,0,157414,3656,3656,3084,"[3656, 3656]"
64,700.0,1,0,152004,3668,3668,3087,"[3668, 3668]"
65,290.0,1,0,152325,3832,3800,3105,"[3832, 3800]"
66,2249.0,1,3,154943,3440,2920,3133,"[3440, 2920]"
67,2650.0,1,3,156777,3440,2920,3133,"[3440, 2920]"
68,290.0,1,0,150027,3656,3668,3141,"[3656, 3668]"
69,2075.0,1,2,149631,3792,2504,3201,"[3792, 2504]"
70,3332.9999999999995,1,2,149988,3792,2504,3201,"[3792, 2504]"
71,300.0,1,0,154512,4168,2344,3333,"[4168, 2344]"
72,2000.0,1,3,154008,3440,2840,3349,"[3440, 2840]"
73,320.0,1,0,150025,4136,2344,3409,"[4136, 2344]"
74,850.0,1,1,152636,3464,3504,3447,"[3464, 3504]"
75,149.0,1,0,153580,4120,2344,3452,"[4120, 2344]"
76,275.0,1,0,151070,4144,2328,3522,"[4144, 2328]"
77,320.0,1,0,150246,3832,3864,3534,"[3832, 3864]"
78,259.0,1,0,155571,4128,4000,3573,"[4128, 4000]"
79,330.0,1,0,150028,3928,2408,3578,"[3928, 2408]"
80,850.0,1,1,151051,3640,2580,3618,"[3640, 2580]"
81,566.0,1,1,157005,3416,2840,3668,"[3416, 2840]"
82,259.0,1,0,155572,4144,4016,3680,"[4144, 4016]"
83,2490.0,1,2,153392,3792,2432,3701,"[3792, 2432]"
84,470.0,1,0,149495,4128,2312,3729,"[4128, 2312]"
85,330.0,1,1,149968,3360,2936,3761,"[3360, 2936]"
86,300.0,1,0,154510,4208,4048,3810,"[4208, 4048]"
87,2150.0,1,1,152500,3600,2580,3840,"[3600, 2580]"
88,330.0,1,1,149973,3620,2560,3857,"[3620, 2560]"
89,650.0,1,1,156967,3660,2520,3913,"[3660, 2520]"
90,777.0,1,1,154174,4192,2264,3952,"[4192, 2264]"
91,259.0,1,0,155569,4128,4048,4021,"[4128, 4048]"
92,1460.0,1,2,156146,4152,2240,4039,"[4152, 2240]"
93,500.0,1,1,151584,3336,2888,4050,"[3336, 2888]"
