,Unnamed: 0,Price,ID,BRS,HAUNT,Wearables,Date
255,255,1000.0,803,516,1,"[0, 0, 66, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
1366,366,10000.0,3126,558,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
3140,140,2000.0,6942,520,1,"[78, 0, 0, 87, 83, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
3262,262,425.0,7330,477,1,"[0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
3299,299,333.0,7384,404,1,"[0, 0, 0, 90, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
3301,301,777.0,7385,447,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
3308,308,240.0,7387,393,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
1207,207,299.0,2865,459,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
1196,196,1333.0,2848,511,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
1187,187,5000.0,2825,530,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
3024,24,850.0,6615,524,1,"[0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
1159,159,500.0,2790,488,1,"[0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
110,110,350.0,299,476,1,"[88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2021-03-02
